================ Training Loss (Mon Apr 25 21:57:22 2022) ================
(epoch: 207, iters: 80, time: 0.100, data: 0.479) G_GAN: 0.282 D_real: 0.230 D_fake: 0.248 G: 2.702 NCE: 2.409 NCE_Y: 2.430 
(epoch: 209, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.257 D_real: 0.249 D_fake: 0.247 G: 2.085 NCE: 1.822 NCE_Y: 1.835 
(epoch: 210, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.260 D_real: 0.256 D_fake: 0.246 G: 1.879 NCE: 1.588 NCE_Y: 1.650 
(epoch: 212, iters: 80, time: 0.100, data: 0.476) G_GAN: 0.269 D_real: 0.223 D_fake: 0.256 G: 1.489 NCE: 1.208 NCE_Y: 1.233 
(epoch: 214, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.271 D_real: 0.233 D_fake: 0.248 G: 1.574 NCE: 1.270 NCE_Y: 1.335 
(epoch: 215, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.273 D_real: 0.242 D_fake: 0.250 G: 1.310 NCE: 1.016 NCE_Y: 1.058 
(epoch: 217, iters: 80, time: 0.100, data: 0.455) G_GAN: 0.263 D_real: 0.239 D_fake: 0.249 G: 1.326 NCE: 1.130 NCE_Y: 0.997 
(epoch: 219, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.268 D_real: 0.200 D_fake: 0.290 G: 1.385 NCE: 1.113 NCE_Y: 1.120 
(epoch: 220, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.338 D_real: 0.184 D_fake: 0.351 G: 1.414 NCE: 1.013 NCE_Y: 1.141 
(epoch: 222, iters: 80, time: 0.100, data: 0.464) G_GAN: 0.282 D_real: 0.256 D_fake: 0.231 G: 1.342 NCE: 1.107 NCE_Y: 1.012 
(epoch: 224, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.274 D_real: 0.250 D_fake: 0.222 G: 1.326 NCE: 1.099 NCE_Y: 1.005 
(epoch: 225, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.261 D_real: 0.260 D_fake: 0.214 G: 1.513 NCE: 1.233 NCE_Y: 1.270 
